user,brand,model,start_year,curr_year,end_year,last_scraped
chris,mercedes-benz,170,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,180,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,190,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,200,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,208,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,220,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,230,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,240,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,250,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,260,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,270,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,280,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,300,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,308,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,320,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,350,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,380,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,400,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,416,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,420,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,450,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,500,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,560,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,600,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,a-klasse-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,b-klasse-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,c-classe-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,amg-gt,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,ce-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,citan,1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,cl-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,cla-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,clk-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,cls-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,e-klasse-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,eq-klasse-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,g-klasse-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,gl-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,gla-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,glb-(alle),1990.0,1990.0,2024.0,not yet scraped
chris,mercedes-benz,glc-(alle),1990.0,1990.0,2024.0,not yet scraped
