user,brand,model,start_year,curr_year,end_year,last_scraped
chris,mercedes-benz,170,2005.0,2025.0,2024.0,2024-07-12 17 35
chris,mercedes-benz,180,2005.0,2025.0,2024.0,2024-07-12 17 41
chris,mercedes-benz,190,2005.0,2025.0,2024.0,2024-07-12 17 43
chris,mercedes-benz,200,2005.0,2025.0,2024.0,2024-07-12 19 48
chris,mercedes-benz,208,2005.0,2025.0,2024.0,2024-07-12 19 50
chris,mercedes-benz,220,2005.0,2025.0,2024.0,2024-07-12 20 02
chris,mercedes-benz,230,2005.0,2025.0,2024.0,2024-07-12 20 07
chris,mercedes-benz,240,2005.0,2025.0,2024.0,2024-07-12 20 10
chris,mercedes-benz,250,2005.0,2025.0,2024.0,2024-07-12 20 12
chris,mercedes-benz,260,2005.0,2025.0,2024.0,2024-07-12 20 15
chris,mercedes-benz,270,2005.0,2025.0,2024.0,2024-07-12 20 17
chris,mercedes-benz,280,2005.0,2025.0,2024.0,2024-07-12 20 29
chris,mercedes-benz,300,2005.0,2025.0,2024.0,2024-07-12 20 31
chris,mercedes-benz,308,2005.0,2025.0,2024.0,2024-07-12 20 38
chris,mercedes-benz,320,2005.0,2025.0,2024.0,2024-07-12 20 41
chris,mercedes-benz,350,2005.0,2025.0,2024.0,2024-07-12 20 47
chris,mercedes-benz,380,2005.0,2025.0,2024.0,2024-07-12 20 49
chris,mercedes-benz,400,2005.0,2025.0,2024.0,2024-07-12 20 52
chris,mercedes-benz,416,2005.0,2025.0,2024.0,2024-07-12 20 54
chris,mercedes-benz,420,2005.0,2025.0,2024.0,2024-07-12 20 56
chris,mercedes-benz,450,2005.0,2025.0,2024.0,2024-07-12 20 59
chris,mercedes-benz,500,2005.0,2025.0,2024.0,2024-07-12 21 03
chris,mercedes-benz,560,2005.0,2025.0,2024.0,2024-07-12 21 05
chris,mercedes-benz,600,2005.0,2025.0,2024.0,2024-07-12 21 07
chris,mercedes-benz,a-klasse-(alle),2005.0,2025.0,2024.0,2024-07-13 00 15
chris,mercedes-benz,a-140,2005.0,2025.0,2024.0,2024-07-13 00 17
chris,mercedes-benz,a-150,2005.0,2025.0,2024.0,2024-07-13 00 21
chris,mercedes-benz,a-160,2005.0,2025.0,2024.0,2024-07-13 00 24
chris,mercedes-benz,a-170,2005.0,2025.0,2024.0,2024-07-13 00 33
chris,mercedes-benz,a-180,2005.0,2025.0,2024.0,2024-07-13 00 51
chris,mercedes-benz,a-190,2005.0,2025.0,2024.0,2024-07-13 00 53
chris,mercedes-benz,a-200,2005.0,2025.0,2024.0,2024-07-13 01 10
chris,mercedes-benz,a-210,2005.0,2025.0,2024.0,2024-07-13 01 16
chris,mercedes-benz,a-220,2005.0,2025.0,2024.0,2024-07-13 01 21
chris,mercedes-benz,a-250,2005.0,2025.0,2024.0,2024-07-13 01 32
chris,mercedes-benz,a-35-amg,2005.0,2025.0,2024.0,2024-07-13 01 37
chris,mercedes-benz,a-45-amg,2005.0,2025.0,2024.0,2024-07-13 01 41
chris,mercedes-benz,b-klasse-(alle),2005.0,2025.0,2024.0,2024-07-13 03 33
chris,mercedes-benz,c-classe-(alle),2005.0,2025.0,2024.0,2024-07-13 03 39
chris,mercedes-benz,amg-gt,2005.0,2025.0,2024.0,2024-07-13 04 04
chris,mercedes-benz,ce-(alle),2005.0,2025.0,2024.0,2024-07-13 04 06
chris,mercedes-benz,citan,2005.0,2025.0,2024.0,2024-07-13 04 28
chris,mercedes-benz,cl-(alle),2005.0,2025.0,2024.0,2024-07-13 04 38
chris,mercedes-benz,c-160,2005.0,2025.0,2024.0,2024-07-13 04 42
chris,mercedes-benz,c-180,2005.0,2025.0,2024.0,2024-07-13 06 02
chris,mercedes-benz,c-200,2005.0,2025.0,2024.0,2024-07-13 07 26
chris,mercedes-benz,c-220,2005.0,2025.0,2024.0,2024-07-13 08 49
chris,mercedes-benz,c-230,2005.0,2025.0,2024.0,2024-07-13 08 56
chris,mercedes-benz,c-240,2005.0,2025.0,2024.0,2024-07-13 08 59
chris,mercedes-benz,c-250,2005.0,2025.0,2024.0,2024-07-13 09 21
chris,mercedes-benz,c-270,2005.0,2025.0,2024.0,2024-07-13 09 24
chris,mercedes-benz,c-280,2005.0,2025.0,2024.0,2024-07-13 09 30
chris,mercedes-benz,c-30-amg,2005.0,2025.0,2024.0,2024-07-13 09 32
chris,mercedes-benz,c-300,2005.0,2025.0,2024.0,2024-07-13 10 42
chris,mercedes-benz,c-32-amg,2005.0,2025.0,2024.0,2024-07-13 10 44
chris,mercedes-benz,c-320,2005.0,2025.0,2024.0,2024-07-13 10 52
chris,mercedes-benz,c-350,2005.0,2025.0,2024.0,2024-07-13 11 05
chris,mercedes-benz,c-36-amg,2005.0,2025.0,2024.0,2024-07-13 11 07
