user,brand,model,start_year,curr_year,end_year,last_scraped
chris,mercedes-benz,170,1990,1990,2024,not yet scraped
chris,mercedes-benz,180,1990,1990,2024,not yet scraped
chris,mercedes-benz,190,1990,1990,2024,not yet scraped
chris,mercedes-benz,200,1990,1990,2024,not yet scraped
chris,mercedes-benz,208,1990,1990,2024,not yet scraped
chris,mercedes-benz,220,1990,1990,2024,not yet scraped
chris,mercedes-benz,230,1990,1990,2024,not yet scraped
chris,mercedes-benz,240,1990,1990,2024,not yet scraped
chris,mercedes-benz,250,1990,1990,2024,not yet scraped
chris,mercedes-benz,260,1990,1990,2024,not yet scraped
chris,mercedes-benz,270,1990,1990,2024,not yet scraped
chris,mercedes-benz,280,1990,1990,2024,not yet scraped
chris,mercedes-benz,300,1990,1990,2024,not yet scraped
chris,mercedes-benz,308,1990,1990,2024,not yet scraped
chris,mercedes-benz,320,1990,1990,2024,not yet scraped
chris,mercedes-benz,350,1990,1990,2024,not yet scraped
chris,mercedes-benz,380,1990,1990,2024,not yet scraped
chris,mercedes-benz,400,1990,1990,2024,not yet scraped
chris,mercedes-benz,416,1990,1990,2024,not yet scraped
chris,mercedes-benz,420,1990,1990,2024,not yet scraped
chris,mercedes-benz,450,1990,1990,2024,not yet scraped
chris,mercedes-benz,500,1990,1990,2024,not yet scraped
chris,mercedes-benz,560,1990,1990,2024,not yet scraped
chris,mercedes-benz,600,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,a-140,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-150,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-160,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-170,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-180,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-190,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-200,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-210,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-220,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-250,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-35-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,a-45-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,b-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,c-classe-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,amg-gt,1990,1990,2024,not yet scraped
chris,mercedes-benz,ce-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,citan,1990,1990,2024,not yet scraped
chris,mercedes-benz,cl-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,c-160,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-180,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-200,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-220,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-230,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-240,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-250,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-270,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-280,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-30-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-300,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-32-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-320,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-350,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-36-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-400,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-43-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-450,1990,1990,2024,not yet scraped
chris,mercedes-benz,c-55-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,cla-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,clk-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,cls-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,e-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,eq-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,g-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,gl-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,gla-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,glb-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,glk-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,gls-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,m-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,r-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,s-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,sl-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,slc-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,slk-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,sprinter,1990,1990,2024,not yet scraped
chris,mercedes-benz,t-klasse-alle(),1990,1990,2024,not yet scraped
chris,mercedes-benz,v-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,viano,1990,1990,2024,not yet scraped
chris,mercedes-benz,vito,1990,1990,2024,not yet scraped
chris,mercedes-benz,x-klasse-(alle),1990,1990,2024,not yet scraped
chris,mercedes-benz,e-200,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-220,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-230,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-240,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-250,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-260,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-270,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-280,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-290,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-300,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-320,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-350,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-36-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-400,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-420,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-43-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-430,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-450,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-50-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-500,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-53-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-55-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-550,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-60-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,e-63-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-200,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-220,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-250,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-300,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-300,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-350,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-400,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-43-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-450,1990,1990,2024,not yet scraped
chris,mercedes-benz,glc-63-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-250,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-300,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-350,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-400,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-43-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-450,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-500,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-53-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-580,1990,1990,2024,not yet scraped
chris,mercedes-benz,gle-63-amg,1990,1990,2024,not yet scraped
chris,mercedes-benz,sonstige,1990,1990,2024,not yet scraped
chris,mini,1000,1990,1990,2024,not yet scraped
chris,mini,1300,1990,1990,2024,not yet scraped
chris,mini,cooper,1990,1990,2024,not yet scraped
chris,mini,cooper-d,1990,1990,2024,not yet scraped
chris,mini,cooper-s,1990,1990,2024,not yet scraped
chris,mini,cooper-sd,1990,1990,2024,not yet scraped
chris,mini,cooper-se,1990,1990,2024,not yet scraped
chris,mini,john-cooper-works,1990,1990,2024,not yet scraped
chris,mini,one,1990,1990,2024,not yet scraped
chris,mini,cooper-cabrio,1990,1990,2024,not yet scraped
chris,mini,cooper-d-cabrio,1990,1990,2024,not yet scraped
chris,mini,cooper-s-cabrio,1990,1990,2024,not yet scraped
chris,mini,cooper-sd-cabrio,1990,1990,2024,not yet scraped
chris,mini,cooper-se-cabrio,1990,1990,2024,not yet scraped
chris,mini,john-cooper-works-cabrio,1990,1990,2024,not yet scraped
chris,mini,one-cabrio,1990,1990,2024,not yet scraped
chris,mini,cooper-clubman,1990,1990,2024,not yet scraped
chris,mini,cooper-d-clubman,1990,1990,2024,not yet scraped
chris,mini,cooper-s-clubman,1990,1990,2024,not yet scraped
chris,mini,cooper-sd-clubman,1990,1990,2024,not yet scraped
chris,mini,cooper-se-clubman,1990,1990,2024,not yet scraped
chris,mini,john-cooper-works-clubman,1990,1990,2024,not yet scraped
chris,mini,one-clubman,1990,1990,2024,not yet scraped
chris,mini,one-d-clubman,1990,1990,2024,not yet scraped
chris,mini,clubvan,1990,1990,2024,not yet scraped
chris,mini,cooper-countryman,1990,1990,2024,not yet scraped
chris,mini,cooper-d-countryman,1990,1990,2024,not yet scraped
chris,mini,cooper-s-countryman,1990,1990,2024,not yet scraped
chris,mini,cooper-sd-countryman,1990,1990,2024,not yet scraped
chris,mini,cooper-se-countryman,1990,1990,2024,not yet scraped
chris,mini,john-cooper-works-countryman,1990,1990,2024,not yet scraped
chris,mini,one-countryman,1990,1990,2024,not yet scraped
chris,mini,one-d-countryman,1990,1990,2024,not yet scraped
chris,mini,cooper-paceman,1990,1990,2024,not yet scraped
